"age","C","YL"
"0","23.180259883088","0"
"1","22.169305722072","0"
"2","22.149480454461","0"
"3","23.066104777427","0"
"4","23.099492983259","0"
"5","23.200661457952","0.78387954255736"
"6","23.972200879418","0.95469260250877"
"7","24.165929936137","1.0972402323456"
"8","24.344104307152","1.2553653009835"
"9","24.51245695288","1.455801094991"
"10","24.700810303456","1.7166681112138"
"11","25.070387318186","2.1540271974952"
"12","25.431457272874","2.6227043719955"
"13","25.552607550151","3.2356543001017"
"14","25.780390100527","3.8577795179871"
"15","25.918688415912","4.4961219585109"
"16","25.943371640958","5.2236166866097"
"17","25.707718276749","5.9244691623199"
"18","25.171652391965","6.6905315807174"
"19","24.418228307332","7.4142512385651"
"20","26.188136334653","8.167722385203"
"21","25.130845233658","9.0814603866353"
"22","24.160495580913","9.9730881883011"
"23","23.345834840842","11.134652649499"
"24","22.639174445333","12.480619264004"
"25","21.863079289846","13.814532492933"
"26","21.042018432198","15.472123040706"
"27","20.06652875859","17.45301241288"
"28","19.003855715898","19.153119222118"
"29","17.93004007331","20.530774349144"
"30","16.816080834714","21.79682561767"
"31","15.827598340598","23.131370205237"
"32","14.944242514866","23.874632950627"
"33","14.230520650715","24.14742076514"
"34","13.626610172424","24.420775918683"
"35","13.1500670268","24.598061305908"
"36","12.67653019749","24.487573338389"
"37","12.261391441681","24.239812981374"
"38","11.859866875902","23.309409790781"
"39","11.44750353068","22.109845470932"
"40","10.845657483586","21.329679797937"
"41","10.490894657646","21.165728369464"
"42","10.131031871593","21.312199103263"
"43","9.8048776084634","21.644788941446"
"44","9.4786024825343","21.494357284514"
"45","9.1433092839491","21.443133672574"
"46","8.8310295161572","21.629720452267"
"47","8.5375539752964","22.281628208793"
"48","8.3119153999976","22.690718574041"
"49","8.1054684271816","22.809347007299"
"50","7.8641370909835","22.712736514253"
"51","7.6196703285334","22.763774073573"
"52","7.3563363521557","22.77407871956"
"53","7.1014058893241","22.442603269018"
"54","6.8359453363093","21.45177594366"
"55","6.5575381759857","19.980181515919"
"56","6.3007681458513","18.447356206311"
"57","6.0291290955577","16.816738910101"
"58","5.7323228608866","15.03712882568"
"59","5.4622120699942","13.171668205192"
"60","5.1712851487934","11.177287355204"
"61","4.8791801605897","9.2615810771319"
"62","4.5990956079415","7.7321948845552"
"63","4.3818188099353","6.7017609804189"
"64","4.2042413466936","5.7998727006114"
"65","4.0422729695865","4.8943882885435"
"66","3.8540301987582","3.9944166590444"
"67","3.6554484706255","3.3912206122774"
"68","3.4493120795354","2.8845170028003"
"69","3.2495028857934","2.4611651214445"
"70","3.0731886192482","2.1051784237682"
"71","2.9064007126623","1.7491377858556"
"72","2.7098737820798","1.4436476504873"
"73","2.5075162361994","1.1939464174878"
"74","2.2953571890477","1.0069891089565"
"75","2.0963330224998","0.82277185345554"
"76","1.9426726227981","0.70320298096104"
"77","1.8412412182662","0.60115997368588"
"78","1.7953913332413","0.56380754510502"
"79","1.7926081075681","0.5577937421128"
"80","0","0"
