"age","C","YL"
"0","13.637256650897","0"
"1","12.967898890252","0"
"2","12.722811301769","0"
"3","13.128551041836","0"
"4","12.939838539767","0"
"5","12.741513276755","0.72495761210968"
"6","13.052724533224","0.81029992475369"
"7","12.969382840537","0.88504118002681"
"8","12.870245273263","0.97697218033934"
"9","12.769707796155","1.0875468696526"
"10","12.643228588298","1.2056021499349"
"11","12.577284233843","1.4660521375517"
"12","12.53545450522","1.8876680347546"
"13","12.447779107161","2.4198024417013"
"14","12.46687593923","2.9416127623526"
"15","12.446715163277","3.5191986553023"
"16","12.368274444412","4.1931451756815"
"17","12.214038563682","4.8563858995137"
"18","11.981379528262","5.4521150203806"
"19","11.683789462634","5.9647763414565"
"20","12.912195479911","6.614494248369"
"21","12.494187326875","7.2439975439762"
"22","12.07478333247","7.830260603511"
"23","11.675676304241","8.3433873993789"
"24","11.278276831358","8.9278984685864"
"25","10.839155062147","9.4147807091814"
"26","10.398051437232","9.6222637348877"
"27","9.9072476923631","9.9345728887072"
"28","9.4067561368816","10.111121259368"
"29","8.8953343678348","10.101890098448"
"30","8.3578723844","10.07859861917"
"31","7.8969955493319","10.072745982205"
"32","7.4822630856246","9.9463585198419"
"33","7.1205558363659","9.8911670837633"
"34","6.7882172147607","9.9034114570084"
"35","6.5155767090782","9.8153686578241"
"36","6.2229353075115","9.7167080939157"
"37","5.9340451658625","9.5055418571595"
"38","5.6373468835708","9.1748855265217"
"39","5.3338634041353","8.7633032131017"
"40","4.9212397715305","8.4507946674553"
"41","4.657401303241","8.3467315473007"
"42","4.411550157527","8.267275586186"
"43","4.1922917753782","8.1506780820361"
"44","3.9931590029093","7.8914801648045"
"45","3.8160861699633","7.6584270122813"
"46","3.6506911372586","7.499854720328"
"47","3.4865041513959","7.4005542117801"
"48","3.350234921149","7.2105874106312"
"49","3.2380904241072","6.9251885905138"
"50","3.125255798397","6.6247944683819"
"51","3.0130949409202","6.3342778717608"
"52","2.8937438196734","6.0244233828051"
"53","2.789303420171","5.6328371368533"
"54","2.6694117556384","5.2039999102452"
"55","2.5437343972733","4.724799477968"
"56","2.4334798599463","4.2383709190814"
"57","2.3301838577285","3.7258319648595"
"58","2.217864304486","3.1973621224174"
"59","2.1104824700249","2.6366828903239"
"60","2.0040834049664","2.1003757624567"
"61","1.8904967254451","1.6872259368704"
"62","1.791365242654","1.3782740434291"
"63","1.7067423800199","1.1250393208106"
"64","1.6296804019224","0.89424455766606"
"65","1.5625054743419","0.67589948579439"
"66","1.4889400057209","0.52527513966659"
"67","1.4121454587764","0.46113850298868"
"68","1.3284747900838","0.41076691408463"
"69","1.247417837732","0.37895599957546"
"70","1.1735285915957","0.35637412709938"
"71","1.105897204507","0.33595563784751"
"72","1.0232124207663","0.30522303091866"
"73","0.93298344760263","0.2713814349289"
"74","0.84127559414947","0.24046801038034"
"75","0.75788961961539","0.20704941229424"
"76","0.68848329171036","0.17827737449753"
"77","0.63539554369005","0.15549617658938"
"78","0.5992783679009","0.13736673458618"
"79","0.57920924916143","0.12263873661372"
"80","0","0.005"
